Title,Release_Date,Expired_Date,Activity_Code,Parent_Organization,Organization,Participating_Orgs,Document_Number,Document_Type,Clinical_Trials,URL
Diversity Centers for Genome Research (UG3/UH3 Clinical Trials Optional),9/22/22,6/25/24,UG3/UH3,NIH,NHGRI,"NIMH, NIMHD",RFA-HG-22-027,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-HG-22-027.html
HEAL Initiative: HEAL Data2Action  Acceleration Projects (R33 Clinical Trial Not Allowed),9/21/22,11/23/22,R33,NIH,NIDA,"NCCIH, NIAAA",RFA-DA-23-058,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-23-058.html
"HEAL Initiative: HEAL Data2Action  Innovation and Acceleration Projects, Phased Awards (R61/R33, Clinical Trial Optional)",9/21/22,11/23/22,R61/R33,NIH,NIDA,"NCCIH, NIAAA",RFA-DA-23-057,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-23-057.html
NIAID Research Opportunities for New and At-Risk Investigators to Promote Workforce Diversity (R01 Clinical Trial Optional),9/21/22,9/13/23,R01,NIH,NIAID,None,PAR-22-241,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-22-241.html
Consortium for Design of TB Drug Regimens (UM1 Clinical Trial Not Allowed),9/21/22,2/8/23,UM1,NIH,NIAID,None,RFA-AI-22-059,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-22-059.html
Clinical Coordinating Center for the Network of Excellence in Neuroscience Clinical Trials (NEXT - CCC) (U01 Clinical Trial Not Allowed),9/20/22,11/22/22,U01,NIH,NINDS,None,RFA-NS-22-029,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-22-029.html
Data Coordinating Center for the Network of Excellence in Neuroscience Clinical Trials (NEXT - DCC) (U01 Clinical Trial Not Allowed),9/20/22,11/22/22,U01,NIH,NINDS,None,RFA-NS-22-030,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-22-030.html
Clinical Research Sites for the Network of Excellence in Neuroscience Clinical Trials (NeuroNEXT sites) (U24 Clinical Trial Not Allowed),9/20/22,11/22/22,U24,NIH,NINDS,None,RFA-NS-22-031,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-22-031.html
"BRAIN Initiative: Theories, Models and Methods for Analysis of Complex Data from the Brain (R01 Clinical Trial Not Allowed)",9/20/22,9/13/24,R01,NIH,NIDA,"NIA, NIAAA, NIBIB, NICHD, NIDCD, NIMH, NINDS, OBSSR, NCCIH, NEI",RFA-DA-23-039,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-23-039.html
Notice of Special Interest (NOSI): Halting Tuberculosis (TB) Transmission,9/20/22,7/17/24,"R01,R21",NIH,NIAID,None,NOT-AI-22-064,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-22-064.html
Notice of Special Interest (NOSI): Implementation Science to Advance Maternal Health and Maternal Health Equity for the IMPROVE initiative,9/19/22,5/8/25,"R03,R21,R01",NIH,NICHD,"NCCIH, NHLBI, NIAID, NIAMS, NIDA, NIDCR, NIDDK, NIMH, NIMHD, NINDS, NINR, OAR, OBSSR, ODP, ODS, ORWH",NOT-HD-22-043,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-HD-22-043.html
Schizophrenia and related disorders during mid- to late-life (R21 Clinical Trial Optional),9/19/22,2/23/23,R21,NIH,NIMH,None,RFA-MH-22-271,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-22-271.html
Schizophrenia and related disorders during mid- to late-life (R01 Clinical Trial Optional),9/19/22,2/23/23,R01,NIH,NIMH,None,RFA-MH-22-270,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-22-270.html
Botulinum Toxin Potency Assay using Tissue Chips (BoT PATCh) (U43/U44 - Clinical Trail Not Allowed),9/19/22,8/22/23,U43/U44,NIH,NCATS,NINDS,RFA-TR-22-032,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-TR-22-032.html
"Botulinum Toxin Potency Assay using Tissue Chips (BoT PATCh) (UT1, UT2 Clinical Trail Not Allowed)",9/19/22,8/22/23,UT1,NIH,NCATS,NINDS,RFA-TR-22-031,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-TR-22-031.html
Large Scale Integrated Mapping and Molecular Profiling of Cell Ensembles and/or Cell-Types Mediating Opioid Action in the Rodent Brain (R01 - Clinical Trial Not Allowed),9/19/22,2/3/23,R01,NIH,NIDA,None,RFA-DA-23-035,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-23-035.html
"The NHGRI Genomic Data Science Analysis, Visualization, and Informatics Lab-space Clinical Resource (ACR) (U24 Clinical Trial Not Allowed)",9/16/22,12/3/22,U24,NIH,NHGRI,None,RFA-HG-22-021,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HG-22-021.html
"HEAL Initiative: Prevention and Management of Chronic Pain in Rural Populations (UG3/UH3, Clinical Trials Required)",9/16/22,11/22/22,UG3/UH3,NIH,NINR,"NCCIH, NCI, NHLBI, NIA, NIAAA, NIAMS, NICHD, NIDA, NIDCR, NIMHD, NINDS, ODP",RFA-NR-23-001,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-NR-23-001.html
Limited Competition: IDeA Regional Entrepreneurship Development (I-RED) Program (STTR) (UT2 Clinical Trial Not Allowed),9/16/22,1/7/23,UT2,NIH,NIGMS,None,PAR-22-254,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-254.html
HEAL INITIATIVE: Development of Therapies and Technologies Directed at Enhanced Pain Management (R43/R44 Clinical Trial Not Allowed),9/15/22,4/5/25,R43/R44,NIH,NINDS,"NCATS, NCCIH, NHLBI, NIA, NIAAA, NIAMS, NICHD, NIDCR, NIGMS, NIMH, ORIP",RFA-NS-23-006,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-23-006.html
HEAL Initiative: Development of Therapies and Technologies Directed at Enhanced Pain Management (R41/R42 Clinical Trial Not Allowed),9/15/22,4/5/25,R41/R42,NIH,NINDS,"NCATS, NCCIH, NCI, NHLBI, NIA, NIAAA, NIAMS, NICHD, NIDCR, NIGMS, NIMH, ORIP",RFA-NS-23-007,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-23-007.html
NCI Pathway to Independence Award for Outstanding Early Stage Postdoctoral Researchers (K99/R00 - Independent Clinical Trial Required),9/15/22,3/1/23,K99/R00,NIH,NCI,None,RFA-CA-22-036,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-22-036.html
NCI Pathway to Independence Award for Outstanding Early Stage Postdoctoral Researchers (K99/R00 - Independent Clinical Trial Not Allowed),9/15/22,3/1/23,K99/R00,NIH,NCI,None,RFA-CA-22-035,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-22-035.html
NCI Pathway to Independence Award for Outstanding Early Stage Postdoctoral Researchers (K99/R00 - Independent Basic Experimental Studies with Humans Required),9/15/22,3/1/23,K99/R00,NIH,NCI,None,RFA-CA-22-037,RFA,Basic_Trial,https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-22-037.html
Centers of Biomedical Research Excellence (COBRE) Phase 1 (P20 - Clinical Trial Optional),9/14/22,1/31/25,P20,NIH,NIGMS,None,PAR-22-250,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-22-250.html
Notice of Special Interest (NOSI): Research on the Impact of Policy Changes and Emerging and Evolving Public Health Crises on NICHD Populations of Interest,9/14/22,1/8/25,"R15,R03,R01,R21",NIH,NICHD,NIDA,NOT-HD-22-038,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-HD-22-038.html
"Limited Competition: The NHGRI Genomic Data Science Analysis, Visualization, and Informatics Lab-space (AnVIL) (U24 Clinical Trial Not Allowed) ",9/14/22,12/3/22,U24,NIH,NHGRI,None,RFA-HG-22-020,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HG-22-020.html
"Notice of Special Interest (NOSI): Basic and Translational Research on Circadian Regulation of Heart, Lung, Blood, and Sleep Disorders (R01)",9/13/22,1/8/28,R01,NIH,NHLBI,None,NOT-HL-22-043,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-22-043.html
NIAID Investigator Initiated Program Project Applications (P01 Clinical Trial Not Allowed)  ,9/13/22,9/8/25,P01,NIH,NIAID,None,PAR-22-225,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-225.html
Cancer Prevention-Interception Targeted Agent Discovery Program (CAP-IT) Centers (U54 Clinical Trial Not Allowed),9/13/22,11/22/22,U54,NIH,NCI,None,RFA-CA-22-055,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-22-055.html
Notice of Special Interest (NOSI): Small Research Grants for Innovations in Healthy Longevity Research,9/13/22,5/8/23,R03,NIH,NIA,None,NOT-AG-22-030,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-AG-22-030.html
Agency for Healthcare Research and Quality (AHRQ)-sponsored National Research Service Award (NRSA) Individual  Postdoctoral Fellowship (F32),9/12/22,8/9/25,F32,AHRQ,AHRQ,None,PA-22-251,PA,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-22-251.html
Limited Competition: Small Grant Program for NIDDK K01/K08/K23/K25 Recipients (R03 Clinical Trial Optional),9/12/22,1/10/25,R03,NIH,NIDDK,None,PAR-22-129,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-22-129.html
NINR Areas of Emphasis for Research to Optimize Health and Advance Health for All (R01 Clinical Trial Optional),9/9/22,5/8/25,R01,NIH,NINR,None,PAR-22-230,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-22-230.html
NINR Areas of Emphasis for Research to Optimize Health and Advance Health for All (R21 Clinical Trial Optional),9/9/22,5/8/25,R21,NIH,NINR,None,PAR-22-231,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-22-231.html
Pediatric Clinical Pharmacology Research Career Development Award (K12 Clinical Trial Not Allowed)  ,9/9/22,12/7/22,K12,NIH,NICHD,None,RFA-HD-23-023,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HD-23-023.html
Resource-Related Research Projects for Development of Animal Models and Related Materials (R24 Clinical Trials Not-Allowed),9/9/22,5/26/25,R24,NIH,ORIP,None,RFA-OD-22-013,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-22-013.html
Development of Animal Models and Related Materials for HIV/AIDS Research (R24 Clinical Trials Not Allowed),9/9/22,1/8/25,R24,NIH,ORIP,None,PAR-22-204,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-204.html
Notice of Special Interest (NOSI): Development and Preliminary Testing of Health-related Behavioral Interventions,9/9/22,9/27/24,"R01,R34,R21,UG3/UH3,R61/R33,U54,U01,R21/R33",NIH,OBSSR,"NCCIH, NCI, NIA, NIDA, NIDCR, NINR",NOT-OD-22-203,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-22-203.html
NIH Blueprint for Neuroscience Research: Computational Training in Neuroscience and Behavior (T90/R90 - Clinical Trial Not Allowed),9/8/22,11/30/22,T90/R90,NIH,NIDA,"NCCIH, NEI, NIA, NIAAA, NIBIB, NICHD, NIDCR, NIEHS, NIMH, NINDS, OBSSR",RFA-DA-23-037,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-23-037.html
Bioengineering Research Grants (BRG) (R01 Clinical Trial Optional),9/8/22,9/8/25,R01,NIH,NCI,NINDS,PAR-22-243,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-22-243.html
Bioengineering Research Grants (BRG) (R01 Clinical Trial Not Allowed),9/8/22,9/8/25,R01,NIH,NCI,"NEI, NIAMS, NIDCD, NIDCR, NINDS",PAR-22-242,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-242.html
Notice of Special Interest:  Administrative Supplements for Validation Studies of Analytical Methods for Dietary Supplement Constituents (Admin Supp - Clinical Trial Not Allowed),9/7/22,4/16/25,Admin Supp,NIH,ODS,"NCCIH, NCI, NIDDK",NOT-OD-22-202,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-22-202.html
"Notice of Special Interest (NOSI): Research on the Health of Women of Understudied, Underrepresented and Underreported (U3) Populations (Admin Supp Clinical Trial Optional)",9/7/22,2/1/23,Admin Supp,NIH,ORWH,"NCCIH, NCI, NEI, NHLBI, NIA, NIAAA, NIAID, NIAMS, NIBIB, NICHD, NIDA, NIDCD, NIDCR, NIDDK, NIEHS, NIGMS, NIMH, NINDS, NINR, PN, SGMRO",NOT-OD-22-208,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-22-208.html
Multi-Omics for Health and Disease - Data Analysis and Coordination Center (U01 Clinical Trial Not Allowed),9/7/22,11/19/22,U01,NIH,NHGRI,"NCI, NIEHS",RFA-HG-22-010,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HG-22-010.html
Multi-Omics for Health and Disease - 'Omics Production Centers (U01 Clinical Trial Not Allowed) ,9/7/22,11/19/22,U01,NIH,NHGRI,"NCI, NIEHS",RFA-HG-22-009,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HG-22-009.html
Multi-Omics for Health and Disease - Disease Study Sites (U01 Clinical Trial Optional),9/7/22,11/19/22,U01,NIH,NHGRI,"NCI, NIEHS",RFA-HG-22-008,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-HG-22-008.html
"Elucidation and Validation of the role of Transporters in the Placenta, Lactating Mammary Gland, Developing Gut, and Blood Brain Barrier (UC2 Clinical Trial Not Allowed)
",9/6/22,12/1/22,UC2,NIH,NICHD,"NIDA, ODS, PN",RFA-HD-23-003,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HD-23-003.html
Grand Opportunity in Medications Development for Substance-Use Disorders (U01 Clinical Trial Optional),9/1/22,1/3/25,U01,NIH,NIDA,None,PAR-22-202,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-22-202.html
Development of Medications to Prevent and Treat Opioid and/or Stimulant Use Disorders and Overdose (UG3/UH3 - Clinical Trial Optional),9/1/22,1/3/25,UG3/UH3,NIH,NIDA,None,PAR-22-200,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-22-200.html
Understanding the Supply of Professional Dementia Care Providers and Their Decisions (U54 Clinical Trial Not Allowed),9/1/22,2/4/23,U54,NIH,NIA,None,RFA-AG-23-018,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-23-018.html
"Clinical, Behavioral, and Physiological Studies of Open- and Closed-loop Platforms: Toward Personalized, Fully Automated, Accessible Systems (R01 Clinical Trial Required)",9/1/22,10/27/23,R01,NIH,NIDDK,None,RFA-DK-22-020,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-22-020.html
NCI Cancer Moonshot Scholars Diversity Program (CMSDP) (R01 Clinical Trial Optional),9/1/22,2/7/24,R01,NIH,NCI,None,RFA-CA-22-050,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-22-050.html
Time-Sensitive Opportunities for Health Research (R61/R33 Clinical Trial Not Allowed),9/1/22,3/2/25,R61/R33,NIH,OBSSR,"NCI, NIAAA, NIAMS, NICHD, NIDA, NIMHD, NINR, ODP, ORWH",PAR-22-233,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-233.html
BRAIN Initiative: Engineering and optimization of molecular technologies for functional dissection of neural circuits (UM1 Clinical Trial Not Allowed),8/31/22,10/18/24,UM1,NIH,NIMH,"NCCIH, NEI, NIA, NIAAA, NIBIB, NICHD, NIDA, NIDCD, NINDS",RFA-MH-22-245,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-22-245.html
Centers for Oceans and Human Health 4: Impacts of Climate Change on Oceans and Great Lakes (COHH4) (P01 Clinal Trial Optional),8/31/22,11/2/22,P01,NIH,NIEHS,None,RFA-ES-22-005,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-ES-22-005.html
AHRQ National Research Service Award (NRSA) Institutional Research Training Grant (T32),8/31/22,12/2/22,T32,AHRQ,AHRQ,None,RFA-HS-22-010,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HS-22-010.html
Environmental influences on Child Health Outcomes (ECHO) Data Analysis Center (U24) Clinical Trial Not Allowed,8/30/22,11/22/22,U24,NIH,OD,"NCATS, NCCIH, NHLBI, NIA, NIAAA, NIAID, NICHD, NIDA, NIDCR, NIDDK, NIEHS, NIMH, NIMHD, NINDS, NINR, NLM, OBSSR, ODP",RFA-OD-22-022,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-22-022.html
Environmental influences on Child Health Outcomes (ECHO) Coordinating Center (U2C) (Clinical Trial Not Allowed),8/30/22,11/22/22,U2C,NIH,OD,"NCATS, NCCIH, NHLBI, NIA, NIAAA, NIAID, NICHD, NIDA, NIDCR, NIDDK, NIEHS, NIMH, NIMHD, NINDS, NINR, NLM, OBSSR, ODP",RFA-OD-22-021,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-22-021.html
Limited Competition: Environmental influences on Child Health Outcomes (ECHO) Cohort Study Sites for Pediatric Follow Up. Clinical Trial Not Allowed (UG3/UH3),8/30/22,11/22/22,UG3/UH3,NIH,OD,"NLM, OBSSR, ODP, ORWH, NIDDK, NIEHS, NIMH, NIMHD, NINDS, NINR, NIA, NIAAA, NIAID, NICHD, NIDA, NIDCR, NCATS, NCCIH, NCI, NHLBI",RFA-OD-22-019,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-22-019.html
Limited Competition: Environmental influences on Child Health Outcomes (ECHO) Pregnancy and Pediatric Cohort Study Sites. Clinical Trial Not Allowed (UG3/UH3),8/30/22,11/22/22,UG3/UH3,NIH,OD,"NCATS, NCCIH, NCI, NHLBI, NIA, NIAAA, NIAID, NICHD, NIDA, NIDCR, NIDDK, NIEHS, NIMH, NIMHD, NINDS, NINR, NLM, OBSSR, ODP, ORWH",RFA-OD-22-018,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-22-018.html
Open Competition: Environmental influences on Child Health Outcomes (ECHO) Pregnancy Cohort Study Sites. Clinical Trial Not Allowed (UG3/UH3),8/30/22,11/22/22,UG3/UH3,NIH,OD,"NCATS, NCCIH, NCI, NHLBI, NIA, NIAAA, NIAID, NICHD, NIDA, NIDCR, NIDDK, NIEHS, NIMH, NIMHD, NINDS, NINR, NLM, OBSSR, ODP, ORWH",RFA-OD-22-017,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-22-017.html
Environmental influences on Child Health Outcomes (ECHO) Laboratory Core (U24) Clinical Trial Not Allowed,8/30/22,11/22/22,U24,NIH,OD,"NCATS, NCCIH, NHLBI, NIA, NIAAA, NIAID, NICHD, NIDA, NIDCR, NIDDK, NIEHS, NIMH, NIMHD, NINDS, NINR, NLM, OBSSR, ODP",RFA-OD-22-016,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-22-016.html
"HEAL Initiative: Opioid Exposure and Effects on Placenta Function, Brain Development, and Neurodevelopmental Outcomes (R21 Basic Experimental Studies with Humans Required)",8/29/22,12/8/22,R21,NIH,NICHD,"NIAAA, NIDA, NIMH, NINDS",RFA-HD-23-033,RFA,Basic_Trial,https://grants.nih.gov/grants/guide/rfa-files/RFA-HD-23-033.html
"HEAL Initiative: Opioid Exposure and Effects on Placenta Function, Brain Development, and Neurodevelopmental Outcomes (R21 Clinical Trial Not Allowed)",8/29/22,12/8/22,R21,NIH,NICHD,"NIAAA, NIDA, NIMH, NINDS",RFA-HD-23-031,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HD-23-031.html
"HEAL Initiative: Opioid Exposure and Effects on Placenta Function, Brain Development, and Neurodevelopmental Outcomes (R01 Clinical Trial Not Allowed)",8/29/22,12/8/22,R01,NIH,NICHD,"NIAAA, NIDA, NIMH, NINDS",RFA-HD-23-030,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HD-23-030.html
"HEAL Initiative: Opioid Exposure and Effects on Placenta Function, Brain Development, and Neurodevelopmental Outcomes (R01 Basic Experimental Studies with Humans Required)",8/29/22,12/8/22,R01,NIH,NICHD,"NCCIH, NIAAA, NIDA, NIMH, NINDS",RFA-HD-23-032,RFA,Basic_Trial,https://grants.nih.gov/grants/guide/rfa-files/RFA-HD-23-032.html
CCRP Initiative: NIH Countermeasures Against Chemical Threats (CounterACT) Basic Research on Chemical Threats that Affect the Nervous System (R01 Clinical Trial Not Allowed),8/26/22,10/18/23,R01,NIH,NINDS,NIAID,PAR-23-027,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-23-027.html
The Metastasis Research Network (MetNet): MetNet Research Projects (U01 Clinical Trial Not Allowed),8/25/22,10/25/24,U01,NIH,NCI,None,PAR-22-234,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-234.html
Blood Brain Barrier Response to Antibodies Targeting Beta-Amyloid (R01 - Clinical Trial Not Allowed),8/25/22,11/11/22,R01,NIH,NINDS,NIA,PAR-22-235,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-235.html
Cancer Adoptive Cellular Therapy Network (Can-ACT) for Adult Cancers (UG3/UH3 Clinical Trial Required),8/24/22,7/1/23,UG3/UH3,NIH,NCI,None,RFA-CA-22-028,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-22-028.html
Cancer Adoptive Cellular Therapy Network (Can-ACT) Coordinating Center (U24 Clinical Trial Not Allowed),8/24/22,10/29/22,U24,NIH,NCI,None,RFA-CA-22-030,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-22-030.html
Cancer Adoptive Cellular Therapy Network (Can-ACT) for Pediatric Cancers (UG3/UH3 Clinical Trial Required),8/24/22,7/1/23,UG3/UH3,NIH,NCI,None,RFA-CA-22-029,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-22-029.html
Optimization of Genome Editing Therapeutics for Alzheimer's Disease and Alzheimer's Disease-Related Dementias (AD/ADRD) (U01 - Clinical Trials Not Allowed),8/24/22,12/1/22,U01,NIH,NINDS,NIA,RFA-NS-23-017,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-23-017.html
Drug Induced Liver Injury Network (DILIN) Clinical Centers (U01 - Clinical Trial Optional),8/24/22,10/28/22,U01,NIH,NIDDK,None,RFA-DK-22-013,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-22-013.html
Limited Competition for the Continuation of the Drug Induced Liver Injury Network Data Coordinating Center (DILIN) (U01 - Clinical Trial Not Allowed),8/24/22,10/28/22,U01,NIH,NIDDK,None,RFA-DK-22-508,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-22-508.html
Limited Competition for the Continuation of the APOL1 Long-term Kidney Transplantation Outcomes Network Scientific and Data Research Center (APOLLO SDRC) (Collaborative U01 - Clinical Trial Not Allowed),8/24/22,10/27/22,U01,NIH,NIDDK,NIMHD,RFA-DK-22-507,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-22-507.html
NIA Research and Entrepreneurial Development Immersion (REDI): Mentored Entrepreneurial Career Development Award (K01 Clinical Trial Not Allowed),8/24/22,10/18/24,K01,NIH,NIA,None,PAR-22-227,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-227.html
NIA Research and Entrepreneurial Development Immersion (REDI): Entrepreneurship Enhancement Award (R25 Independent Clinical Trial Not Allowed),8/24/22,10/18/24,R25,NIH,NIA,None,PAR-22-226,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-226.html
"Catalyst Award for Early-Stage Investigators (ESIs) Pursuing Research on HIV Comorbidities, Coinfections, and Complications (DP1- Clinical Trial Optional)",8/24/22,5/2/25,DP1,NIH,NIDDK,"NCI, NHLBI, NICHD",PAR-23-024,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-024.html
NICHD Research Education Programs (R25 Clinical Trial Not Allowed),8/24/22,5/26/25,R25,NIH,NICHD,NCATS,PAR-22-224,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-224.html
Limited Competition for the Continuation of the APOL1 Long-term Kidney Transplantation Outcomes Network (APOLLO) Clinical Centers (Collaborative U01 - Clinical Trial Not Allowed),8/23/22,10/27/22,U01,NIH,NIDDK,NIMHD,RFA-DK-22-506,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-22-506.html
HEAL Initiative: Translational Development of Diagnostic and Therapeutic Devices (R18 Clinical Trial Not Allowed),8/23/22,6/18/25,R18,NIH,NIBIB,"NCCIH, NCI, NEI, NIA, NIAAA, NIAMS, NICHD, NIDA, NIDCR, NINDS",RFA-EB-22-002,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-EB-22-002.html
REsearch Across Complementary and Integrative Health Institutions (REACH) Virtual Resource Centers (U24 Clinical Trial Not Allowed),8/22/22,11/11/22,U24,NIH,NCCIH,None,RFA-AT-23-007,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AT-23-007.html
Maintaining Immunity after Immunization (U01 Clinical Trial Not Allowed),8/22/22,1/14/23,U01,NIH,NIAID,None,RFA-AI-22-055,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-22-055.html
"Notice of Special Interest (NOSI): HEAL Initiative: Biospecimen Collection in Pregnancy
",8/22/22,10/8/23,Admin Supp,NIH,NIDA,ORWH,NOT-DA-23-005,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-23-005.html
Physiomimetics and Organoids for Reproductive Health (R01 Clinical Trial Not Allowed),8/22/22,3/30/23,R01,NIH,NICHD,None,RFA-HD-23-024,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HD-23-024.html
Physiomimetics and Organoids for Reproductive Health (R21 Clinical Trial Not Allowed),8/22/22,3/30/23,R21,NIH,NICHD,None,RFA-HD-23-025,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HD-23-025.html
The Early Detection Research Network: Clinical Validation Centers (U01 Clinical Trial Optional),8/19/22,9/20/22,U01,NIH,NCI,None,RFA-CA-22-054,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-22-054.html
MPRINT Translational Research Resource Platform (TRRP) (U24 Clinical Trial Not Allowed),8/19/22,12/2/22,U24,NIH,NICHD,None,RFA-HD-23-018,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HD-23-018.html
Laboratory of Developmental Biology (R24 Clinical Trial Not Allowed),8/18/22,11/3/22,R24,NIH,NICHD,"NIAID, NIMH",PAR-22-229,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-229.html
